Element Type,OS,Label,Value,Accessibility Label,SnapshotId,Coordinates,screenshot_url,element_udid,package_name,highlighted_image
android.widget.ImageView,android,,,,316555,"{""x"":8.796,""y"":20.708,""height"":1.75,""width"":3.889}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-0cf00a49.jpeg,522005-99a2efd3-dcb6-4074-b5cf-76eda7396438,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316555_522005-99a2efd3-dcb6-4074-b5cf-76eda7396438.jpeg
android.widget.ImageView,android,,,,316555,"{""x"":86.389,""y"":20.583,""height"":2.208,""width"":1.204}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-0cf00a49.jpeg,524888-44666638-109f-4d0d-a1d8-a8d37fe85eb3,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316555_524888-44666638-109f-4d0d-a1d8-a8d37fe85eb3.jpeg
android.widget.ImageView,android,,,,316555,"{""x"":90.37,""y"":25.708,""height"":2.167,""width"":4.815}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-0cf00a49.jpeg,527771-7bf0aa80-ef10-4b7f-a297-28156de7b938,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316555_527771-7bf0aa80-ef10-4b7f-a297-28156de7b938.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":9.074,""y"":90.875,""height"":2.833,""width"":6.296}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,288482-cc265273-8621-4b62-95f3-feff558ff6c4,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_288482-cc265273-8621-4b62-95f3-feff558ff6c4.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":27.963,""y"":90.875,""height"":2.833,""width"":6.389}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,295209-d8d5b5b1-0364-40a4-af07-85236e0d4626,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_295209-d8d5b5b1-0364-40a4-af07-85236e0d4626.jpeg
android.widget.ImageView,android,,,,316555,"{""x"":88.796,""y"":37.0,""height"":1.625,""width"":3.426}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-0cf00a49.jpeg,1155304-f222177d-d375-4297-b2a6-3060953564b4,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316555_1155304-f222177d-d375-4297-b2a6-3060953564b4.jpeg
android.widget.ImageView,android,,,,316555,"{""x"":8.796,""y"":43.75,""height"":2.75,""width"":6.019}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-0cf00a49.jpeg,1158187-32b3212f-1b26-4dc2-8e28-afd7edbadbc2,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316555_1158187-32b3212f-1b26-4dc2-8e28-afd7edbadbc2.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":46.944,""y"":90.875,""height"":2.833,""width"":6.296}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,301936-332de8f3-3f57-41cd-9303-1a59b2153bdd,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_301936-332de8f3-3f57-41cd-9303-1a59b2153bdd.jpeg
android.widget.ImageView,android,,,,316555,"{""x"":16.759,""y"":43.75,""height"":2.75,""width"":6.111}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-0cf00a49.jpeg,1160109-891e58f6-89e4-47ab-82c7-f34f813d05d0,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316555_1160109-891e58f6-89e4-47ab-82c7-f34f813d05d0.jpeg
android.widget.ImageView,android,,,,316555,"{""x"":87.407,""y"":47.792,""height"":1.75,""width"":4.815}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-0cf00a49.jpeg,1167797-3ea98788-6c96-4153-a925-295addf9817d,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316555_1167797-3ea98788-6c96-4153-a925-295addf9817d.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":84.815,""y"":90.875,""height"":2.833,""width"":6.296}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,315390-74b8bc51-4af8-49be-99f0-2f8a7c2e5d95,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_315390-74b8bc51-4af8-49be-99f0-2f8a7c2e5d95.jpeg
android.widget.ImageView,android,,,,316555,"{""x"":88.796,""y"":54.125,""height"":1.625,""width"":3.426}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-0cf00a49.jpeg,1172602-1ee00db1-c0ce-40f7-a09e-0bf189d827f8,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316555_1172602-1ee00db1-c0ce-40f7-a09e-0bf189d827f8.jpeg
